sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/,1831,11,0,483,28.715917263755184,0.0,27.696263802752988,136.81107363674178,5058.246859639541
/login,1831,9,0,459,22.70057948456755,0.0,27.665714760588067,123.79131890931204,4581.927908246859
/loginProcess,1831,2022,1,7334,825.1361232084289,0.8230475150191152,27.39541564426357,121.06885230265127,4525.374112506827
/hotels/search,3397,26,0,2600,99.08963277164264,0.0014718869590815426,51.5149676988869,198.29982574648935,3941.748012952605
/hotels,1766,2242,56,5309,789.0398806852999,0.8165345413363534,26.448211825316,123.42935661654585,4778.835787089468
/hotels/2,1714,1798,6,5008,905.1533603029101,0.6038506417736289,25.414430177041012,78.14388196524422,3148.578763127188
/hotels/booking,9786,43,0,3695,123.0005181646732,0.33292458614347026,149.09273732803143,577.4827811247848,3966.2721234416513
/hotels/booking?execution=e1s1,1631,15,0,198,23.63544054155198,0.0,25.089219788333747,7.248176426362909,295.8295524218271
/hotels/booking?execution=e1s2,1631,13,0,388,26.99347780940835,0.0,25.05568784084799,7.230223015400568,295.4917228694053
/hotels/booking?execution=e1s3,1631,13,0,229,25.254186732435286,0.0,25.053378596334927,7.232121770402912,295.59656652360513
/hotels/booking?execution=e1s4,1631,44,1,5619,318.6743724757818,0.004904966278356836,25.03799450422929,91.87010856737692,3757.289393010423
/logout,1631,26,0,3973,216.83262601625492,0.004291845493562232,25.030693677102516,96.40848008747699,3944.0490496627835
TOTAL,30311,379,0,7334,847.3789237438444,0.2395829896737158,448.1422889838402,1530.2378038046852,3496.575863547887
